Series Name,Series Code,Time,Time Code,Argentina [ARG],Bolivia [BOL],Brazil [BRA],Colombia [COL]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,YR2000,-0.788998922157376,2.50781098812674,4.30574571549967,4.41999299958367
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2001,YR2001,-4.40883969762805,1.68379903413391,1.3148961209429,1.67789830770366
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2002,YR2002,-10.894484819891,2.48556581527659,2.65597426675919,2.5039804654986
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2003,YR2003,8.83704078344473,2.71133983214789,1.14674906432275,3.9182719036083
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2004,YR2004,9.02957332195959,4.17329556102078,5.71391691586116,5.33302206745392
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2005,YR2005,9.17895021699024,4.42143309990637,3.15635238812408,4.70655593383118
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2006,YR2006,8.46606271178115,4.79700873859643,3.95541526928329,6.69751525770528
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2007,YR2007,8.65333684642083,4.56438448272661,6.09545497675312,6.90062765541222
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2008,YR2008,6.75843941952496,6.14849781016818,5.1692990144351,3.54680488578107
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2009,YR2009,0.850241475756562,3.35699942996455,-0.32824803986604,1.65154924529054
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2010,YR2010,9.16091692451589,4.12672274748631,7.53361545286975,3.9718007047375
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2011,YR2011,8.86955390713085,5.17393042157704,2.73250924324444,6.64532888678495
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2012,YR2012,1.89957810935846,5.17643094596949,0.872708175653841,4.21297881033094
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,YR2013,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1999,YR1999,-3.38545705259293,0.426885363578648,0.255597103233086,-4.20401524369917
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1998,YR1998,3.85017886913406,5.0293546362004,0.035512204361126,0.569784089854309
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1997,YR1997,8.11104675760042,4.95420877614612,3.37493881546732,3.43029367828871
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1996,YR1996,5.52668982824724,4.3613403108683,2.14999999999965,2.05585471215153
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1995,YR1995,-2.84520961119372,4.6782769046531,4.41683199331735,5.2024375925309
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1994,YR1994,5.83620069701152,4.6672662675528,5.33435987681479,5.83581149447076
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1993,YR1993,5.90691949369952,4.26929533323748,4.66515094828333,2.36565057428415
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1992,YR1992,11.9407747284308,1.64650004115683,-0.466914924090474,5.03267749660732
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1991,YR1991,12.6697100968503,5.26652207279878,1.51206746147132,2.27723149661927
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1990,YR1990,-2.39895922424094,4.63578790245245,-4.30000000000005,6.04203847760974
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1989,YR1989,-7.49618957328234,3.79012839888273,3.27945885212122,3.4174266555242
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1988,YR1988,-2.55690488546976,2.90950543530157,-0.102672710198163,4.05982100230689
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1987,YR1987,2.90999313619218,2.46347955873563,3.59962945687748,5.37150680628989
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1986,YR1986,7.87577983062546,-2.57387737905526,7.98829510902199,5.83829240968218
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1985,YR1985,-7.58667718994943,-1.67638751669146,7.94586174560585,3.08826465182048
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1984,YR1984,2.21177350353476,-0.200671850875395,5.26914315638712,3.35510101624791
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1983,YR1983,3.87512343331906,-4.04212139982373,-3.40979348007325,1.58437630414743
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1982,YR1982,-4.95717851863463,-3.93873792752328,0.580245554282641,0.948480319272946
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1981,YR1981,-5.68952800015261,0.275616374209847,-4.39335719359896,2.26321677427357
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1980,YR1980,4.15176235037666,-1.37177290765878,9.11096015157381,4.09819916131858
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1979,YR1979,10.2227634485709,0.133344043698173,6.76628496089286,5.38285337293986
